Problem,Problem Type,Algorithm,Population Size,Constraints Number,Objectives Number,Archive Size,Mutation Type,Crossover Rate,Crossover Type,Number of Generations,Decision Variables Number,Reference Point,Execution Time,Hypervolume,Mutation Rate
SPD,Engineering,CMOEA/D-DMA,500,9,3,6,Polynomial,0.9915,SBX,100,6,[ 1.06416451e+01  1.26592762e+04 -5.84109065e+05],18.3983,0.617199,0.856309
SPD,Engineering,CMOEA/D-DMA,400,9,3,1,Polynomial,0.9802,SBX,50,6,[ 1.05151365e+01  1.21384469e+04 -5.64854212e+05],6.2469,0.416287,0.492703
SPD,Engineering,CMOEA/D-DMA,100,9,3,1,Polynomial,0.7787,SBX,300,6,[ 1.05218995e+01  1.26574556e+04 -5.46744616e+05],3.3558,0.611459,0.088822
SPD,Engineering,CMOEA/D-DMA,400,9,3,1,Polynomial,0.9299,SBX,500,6,[ 1.05121532e+01  1.25591159e+04 -6.15624905e+05],54.8204,0.446537,0.881381
SPD,Engineering,CMOEA/D-DMA,500,9,3,6,Polynomial,0.7547,SBX,50,6,[ 1.04664503e+01  1.26011428e+04 -5.49037429e+05],9.9844,0.616872,0.126595
SPD,Engineering,CMOEA/D-DMA,200,9,3,1,Polynomial,0.8024,SBX,100,6,[ 1.12425254e+01  1.11699491e+04 -3.87241060e+05],3.6081,0.609742,0.557639
SPD,Engineering,CMOEA/D-DMA,400,9,3,6,Polynomial,0.9246,SBX,50,6,[ 1.07879395e+01  1.28657320e+04 -3.10622490e+05],6.7526,0.799156,0.716758
SPD,Engineering,CMOEA/D-DMA,400,9,3,6,Polynomial,0.9173,SBX,50,6,[ 1.04537158e+01  1.25143833e+04 -6.05528296e+05],6.3982,0.476039,0.189964
SPD,Engineering,CMOEA/D-DMA,100,9,3,6,Polynomial,0.7780,SBX,100,6,[ 1.05830032e+01  1.25129134e+04 -6.32133574e+05],1.3449,0.341077,0.420594
SPD,Engineering,CMOEA/D-DMA,100,9,3,4,Polynomial,0.7114,SBX,1000,6,[ 1.06905694e+01  1.15742816e+04 -5.88934517e+05],11.5616,0.479643,0.027888
SPD,Engineering,CMOEA/D-DMA,100,9,3,1,Polynomial,0.7017,SBX,50,6,[ 1.09870113e+01  8.78982940e+03 -5.93710935e+05],0.6453,0.796282,0.652610
SPD,Engineering,CMOEA/D-DMA,400,9,3,2,Polynomial,0.9478,SBX,300,6,[ 1.06809463e+01  1.26933153e+04 -5.68448101e+05],34.1978,0.500751,0.696083
SPD,Engineering,CMOEA/D-DMA,300,9,3,1,Polynomial,0.8688,SBX,1000,6,[ 1.10348395e+01  1.27459283e+04 -4.80235640e+05],63.2105,0.684879,0.143200
SPD,Engineering,CMOEA/D-DMA,300,9,3,1,Polynomial,0.8199,SBX,500,6,[ 1.04725896e+01  1.24891836e+04 -6.41704434e+05],32.7890,0.593299,0.273296
SPD,Engineering,CMOEA/D-DMA,100,9,3,8,Polynomial,0.7880,SBX,300,6,[ 1.03666020e+01  1.23192870e+04 -6.96243726e+05],4.1082,0.000000,0.209107
SPD,Engineering,CMOEA/D-DMA,200,9,3,8,Polynomial,0.9297,SBX,100,6,[ 1.06602984e+01  1.27557408e+04 -5.11222962e+05],3.9031,0.652552,0.175270
SPD,Engineering,CMOEA/D-DMA,400,9,3,6,Polynomial,0.7672,SBX,500,6,[ 1.05710619e+01  1.26693167e+04 -5.63773110e+05],57.4245,0.584449,0.757654
SPD,Engineering,CMOEA/D-DMA,200,9,3,2,Polynomial,0.9435,SBX,150,6,[ 1.05468647e+01  1.27685065e+04 -4.92933931e+05],5.3156,0.656726,0.505231
SPD,Engineering,CMOEA/D-DMA,200,9,3,2,Polynomial,0.8583,SBX,500,6,[ 1.03581012e+01  1.24388539e+04 -6.26779550e+05],17.7875,0.406765,0.300261
SPD,Engineering,CMOEA/D-DMA,400,9,3,2,Polynomial,0.8415,SBX,50,6,[ 1.08032949e+01  1.27234419e+04 -4.54729409e+05],6.6118,0.789393,0.696939
SPD,Engineering,CMOEA/D-DMA,200,9,3,4,Polynomial,0.9254,SBX,100,6,[ 1.06474281e+01  1.04547691e+04 -5.90527885e+05],3.7914,0.431572,0.900914
SPD,Engineering,CMOEA/D-DMA,500,9,3,4,Polynomial,0.7800,SBX,50,6,[ 1.06186869e+01  1.14632042e+04 -6.03201869e+05],9.5843,0.659437,0.684611
SPD,Engineering,CMOEA/D-DMA,100,9,3,8,Polynomial,0.8420,SBX,1000,6,[ 1.03382650e+01  1.23849117e+04 -6.61431536e+05],13.1574,0.369329,0.963696
SPD,Engineering,CMOEA/D-DMA,500,9,3,4,Polynomial,0.9183,SBX,300,6,[ 1.06526678e+01  1.26312055e+04 -5.85041437e+05],51.6328,0.495275,0.232581
SPD,Engineering,CMOEA/D-DMA,300,9,3,6,Polynomial,0.7788,SBX,500,6,[ 1.04187874e+01  1.25136732e+04 -6.15954009e+05],35.0451,0.496651,0.830651
SPD,Engineering,CMOEA/D-DMA,100,9,3,8,Polynomial,0.9766,SBX,1000,6,[ 1.07664991e+01  1.28351727e+04 -4.49262478e+05],12.9837,0.655851,0.816011
SPD,Engineering,CMOEA/D-DMA,300,9,3,6,Polynomial,0.8177,SBX,100,6,[ 1.05444430e+01  1.27498684e+04 -5.42560203e+05],7.3821,0.533269,0.903381
SPD,Engineering,CMOEA/D-DMA,100,9,3,8,Polynomial,0.7433,SBX,150,6,[ 1.07619021e+01  1.03380144e+04 -5.15232603e+05],2.0258,0.570894,0.129210
SPD,Engineering,CMOEA/D-DMA,200,9,3,6,Polynomial,0.8839,SBX,100,6,[ 1.06536721e+01  1.23333347e+04 -4.70108777e+05],3.8455,0.682478,0.420316
SPD,Engineering,CMOEA/D-DMA,100,9,3,6,Polynomial,0.7522,SBX,1000,6,[ 1.02853672e+01  1.23297773e+04 -6.91959756e+05],12.9847,0.423177,0.143773
SPD,Engineering,CMOEA/D-DMA,400,9,3,1,Polynomial,0.8084,SBX,50,6,[ 1.17248439e+01  1.28855558e+04 -3.80482743e+05],6.7569,0.745093,0.406729
SPD,Engineering,CMOEA/D-DMA,500,9,3,4,Polynomial,0.9799,SBX,300,6,[ 1.05412158e+01  1.25325910e+04 -6.18515883e+05],51.6965,0.405950,0.230509
SPD,Engineering,CMOEA/D-DMA,300,9,3,1,Polynomial,0.7786,SBX,300,6,[ 1.08573910e+01  1.26716439e+04 -5.77008995e+05],19.9439,0.692824,0.448449
SPD,Engineering,CMOEA/D-DMA,200,9,3,1,Polynomial,0.7217,SBX,50,6,[ 1.05205914e+01  1.28823073e+04 -3.97111639e+05],1.8521,0.653233,0.213350
SPD,Engineering,CMOEA/D-DMA,500,9,3,4,Polynomial,0.9508,SBX,300,6,[ 1.06348818e+01  1.26056422e+04 -5.87339264e+05],49.9716,0.520177,0.063215
SPD,Engineering,CMOEA/D-DMA,100,9,3,2,Polynomial,0.9268,SBX,300,6,[ 1.04525459e+01  1.09627821e+04 -6.52757547e+05],3.5805,0.374896,0.047265
SPD,Engineering,CMOEA/D-DMA,400,9,3,6,Polynomial,0.7631,SBX,500,6,[ 1.07733030e+01  1.27528302e+04 -4.49608067e+05],55.9938,0.548207,0.276334
SPD,Engineering,CMOEA/D-DMA,200,9,3,6,Polynomial,0.8983,SBX,1000,6,[ 1.04731769e+01  1.25442567e+04 -6.03869788e+05],34.7498,0.375178,0.310425
SPD,Engineering,CMOEA/D-DMA,100,9,3,4,Polynomial,0.7953,SBX,150,6,[ 1.03570101e+01  1.25494707e+04 -6.06323051e+05],1.9179,0.555158,0.792390
SPD,Engineering,CMOEA/D-DMA,100,9,3,8,Polynomial,0.7316,SBX,150,6,[ 1.13405175e+01  8.48640008e+03 -4.01911121e+05],2.1061,0.509940,0.440061
SPD,Engineering,CMOEA/D-DMA,200,9,3,2,Polynomial,0.8977,SBX,1000,6,[ 1.08770607e+01  1.30391584e+04 -2.89733047e+05],34.1676,0.778712,0.909033
SPD,Engineering,CMOEA/D-DMA,300,9,3,6,Polynomial,0.9393,SBX,300,6,[ 1.06704969e+01  1.28608251e+04 -4.43628509e+05],19.9852,0.446289,0.098947
SPD,Engineering,CMOEA/D-DMA,500,9,3,6,Polynomial,0.8451,SBX,300,6,[ 1.08257150e+01  1.27437664e+04 -5.21868594e+05],50.9787,0.686919,0.263505
CSI,Engineering,CMOEA/D-DMA,300,10,3,2,Polynomial,0.8079,SBX,1000,7,[27.09229617  4.00615928 12.46909757],62.9995,0.477447,0.006322
CSI,Engineering,CMOEA/D-DMA,500,10,3,2,Polynomial,0.9108,SBX,1000,7,[34.4876814   4.02016065 12.63168872],164.1831,0.671472,0.413679
CSI,Engineering,CMOEA/D-DMA,500,10,3,6,Polynomial,0.8074,SBX,500,7,[35.23558087  4.01394487 12.60344595],84.1221,0.640566,0.070915
CSI,Engineering,CMOEA/D-DMA,100,10,3,1,Polynomial,0.7694,SBX,1000,7,[31.13198855  4.01412023 12.49644376],11.1216,0.458742,0.355157
CSI,Engineering,CMOEA/D-DMA,100,10,3,2,Polynomial,0.7212,SBX,300,7,[26.96958101  4.00138438 12.46563966],3.3409,0.352488,0.071287
CSI,Engineering,CMOEA/D-DMA,500,10,3,6,Polynomial,0.8167,SBX,150,7,[39.81712827  4.0401624  12.62371219],27.4696,0.761258,0.541199
CSI,Engineering,CMOEA/D-DMA,500,10,3,2,Polynomial,0.7886,SBX,1000,7,[43.0187292   4.03865212 12.69658303],166.1769,0.621677,0.632182
CSI,Engineering,CMOEA/D-DMA,400,10,3,2,Polynomial,0.8731,SBX,300,7,[37.34408488  4.017231   12.63398488],34.1629,0.778510,0.685658
CSI,Engineering,CMOEA/D-DMA,300,10,3,2,Polynomial,0.8088,SBX,300,7,[36.77723756  4.00487439 12.63746252],20.2581,0.745116,0.553231
CSI,Engineering,CMOEA/D-DMA,500,10,3,6,Polynomial,0.8023,SBX,500,7,[43.71335441  4.03941128 12.69858784],86.7435,0.682090,0.487791
CSI,Engineering,CMOEA/D-DMA,200,10,3,6,Polynomial,0.7670,SBX,50,7,[32.5498431   4.01424985 12.56005112],2.0264,0.534593,0.404788
CSI,Engineering,CMOEA/D-DMA,400,10,3,8,Polynomial,0.8289,SBX,500,7,[37.45434338  4.02605691 12.59385239],59.9218,0.718554,0.857675
CSI,Engineering,CMOEA/D-DMA,500,10,3,6,Polynomial,0.8074,SBX,300,7,[37.48663467  4.00535574 12.54922096],53.1102,0.702822,0.319042
CSI,Engineering,CMOEA/D-DMA,300,10,3,4,Polynomial,0.7099,SBX,100,7,[29.72880201  4.01535394 12.51772493],7.0560,0.606436,0.020416
CSI,Engineering,CMOEA/D-DMA,200,10,3,8,Polynomial,0.7334,SBX,1000,7,[36.13979785  4.02635803 12.63725158],35.1673,0.563613,0.508086
CSI,Engineering,CMOEA/D-DMA,200,10,3,8,Polynomial,0.7457,SBX,1000,7,[29.63154752  4.01952907 12.56779209],34.7660,0.418688,0.191506
CSI,Engineering,CMOEA/D-DMA,200,10,3,2,Polynomial,0.7464,SBX,50,7,[33.58003514  4.01587581 12.65715886],1.9602,0.670345,0.963187
CSI,Engineering,CMOEA/D-DMA,400,10,3,6,Polynomial,0.7342,SBX,500,7,[31.55042945  4.01061014 12.55367469],56.8626,0.589726,0.235604
CSI,Engineering,CMOEA/D-DMA,500,10,3,6,Polynomial,0.8965,SBX,50,7,[42.27936338  4.03207606 12.64521124],10.5099,0.610227,0.622623
CSI,Engineering,CMOEA/D-DMA,400,10,3,1,Polynomial,0.8589,SBX,100,7,[31.61692309  4.02688543 12.5794463 ],12.1626,0.667448,0.587623
CSI,Engineering,CMOEA/D-DMA,100,10,3,4,Polynomial,0.7269,SBX,500,7,[28.03199064  4.01338837 12.53985249],6.2220,0.395232,0.851768
CSI,Engineering,CMOEA/D-DMA,200,10,3,8,Polynomial,0.9448,SBX,1000,7,[33.88004832  4.01542479 12.55849933],33.6986,0.485320,0.182641
CSI,Engineering,CMOEA/D-DMA,100,10,3,8,Polynomial,0.7788,SBX,100,7,[31.45590462  4.01054729 12.56796184],1.3500,0.510278,0.915802
CSI,Engineering,CMOEA/D-DMA,300,10,3,1,Polynomial,0.9428,SBX,1000,7,[33.25058033  4.01276193 12.58189505],65.9663,0.667244,0.788143
CSI,Engineering,CMOEA/D-DMA,100,10,3,2,Polynomial,0.9554,SBX,1000,7,[33.19716     4.01245717 12.52082899],11.7980,0.434003,0.711069
CSI,Engineering,CMOEA/D-DMA,300,10,3,8,Polynomial,0.7755,SBX,50,7,[37.0264866   4.01472173 12.60596737],4.1441,0.700257,0.458930
CSI,Engineering,CMOEA/D-DMA,400,10,3,2,Polynomial,0.9212,SBX,300,7,[43.28433773  4.03257203 12.66192333],34.3118,0.673373,0.740328
CSI,Engineering,CMOEA/D-DMA,100,10,3,2,Polynomial,0.8958,SBX,1000,7,[39.17393133  4.04041348 12.58451053],11.8172,0.642278,0.731776
CSI,Engineering,CMOEA/D-DMA,200,10,3,2,Polynomial,0.9544,SBX,1000,7,[40.24734682  4.03039995 12.65891243],33.3490,0.697688,0.612847
CSI,Engineering,CMOEA/D-DMA,300,10,3,1,Polynomial,0.8566,SBX,150,7,[35.05838955  4.0129776  12.57571937],10.5057,0.751830,0.964088
CSI,Engineering,CMOEA/D-DMA,200,10,3,6,Polynomial,0.9395,SBX,150,7,[43.63282598  4.03343029 12.66599783],5.1965,0.613430,0.021477
CSI,Engineering,CMOEA/D-DMA,100,10,3,4,Polynomial,0.9566,SBX,150,7,[28.39818671  4.01755456 12.49179786],1.9159,0.424503,0.647120
CSI,Engineering,CMOEA/D-DMA,200,10,3,2,Polynomial,0.9193,SBX,1000,7,[37.37593938  4.03728336 12.62156329],34.1689,0.624259,0.924699
CSI,Engineering,CMOEA/D-DMA,300,10,3,2,Polynomial,0.7565,SBX,300,7,[37.74200204  4.02489862 12.59132678],19.7213,0.710076,0.071647
CSI,Engineering,CMOEA/D-DMA,300,10,3,2,Polynomial,0.9564,SBX,500,7,[42.14404763  4.03259467 12.6922036 ],33.9728,0.567266,0.657919
CSI,Engineering,CMOEA/D-DMA,400,10,3,4,Polynomial,0.9812,SBX,300,7,[30.41909997  4.01542822 12.49803885],34.5784,0.639357,0.049939
CSI,Engineering,CMOEA/D-DMA,500,10,3,4,Polynomial,0.9159,SBX,100,7,[39.79531072  4.03929046 12.59887935],18.7683,0.736852,0.526695
CSI,Engineering,CMOEA/D-DMA,200,10,3,8,Polynomial,0.7196,SBX,50,7,[30.27539921  4.01495322 12.52108055],2.0470,0.586370,0.845716
CSI,Engineering,CMOEA/D-DMA,500,10,3,4,Polynomial,0.7184,SBX,300,7,[43.27299935  4.04045854 12.61405339],51.8581,0.627838,0.324185
CSI,Engineering,CMOEA/D-DMA,100,10,3,4,Polynomial,0.8123,SBX,50,7,[37.98782912  4.02678845 12.51016254],0.6310,0.706098,0.101057
CSI,Engineering,CMOEA/D-DMA,400,10,3,8,Polynomial,0.8943,SBX,500,7,[42.47414108  4.03930356 12.6303968 ],58.1630,0.633173,0.329398
CSI,Engineering,CMOEA/D-DMA,100,10,3,8,Polynomial,0.7793,SBX,300,7,[27.83191055  4.00353121 12.48981299],3.5680,0.420509,0.123441
CSI,Engineering,CMOEA/D-DMA,500,10,3,8,Polynomial,0.8961,SBX,150,7,[39.93539749  4.01508536 12.6408991 ],27.9226,0.807431,0.592247
CSI,Engineering,CMOEA/D-DMA,200,10,3,8,Polynomial,0.7516,SBX,50,7,[35.21769234  4.02178336 12.54725514],2.0450,0.627605,0.455353
CSI,Engineering,CMOEA/D-DMA,400,10,3,2,Polynomial,0.7238,SBX,500,7,[43.23353095  4.03887654 12.69265091],53.6982,0.631619,0.079097
CSI,Engineering,CMOEA/D-DMA,300,10,3,1,Polynomial,0.7045,SBX,50,7,[31.52355804  4.01358384 12.4889086 ],3.7950,0.496869,0.108681
CSI,Engineering,CMOEA/D-DMA,400,10,3,6,Polynomial,0.7103,SBX,1000,7,[38.54655118  4.0396033  12.64268633],116.3668,0.649884,0.923072
CSI,Engineering,CMOEA/D-DMA,200,10,3,4,Polynomial,0.7366,SBX,100,7,[29.82376574  4.01438064 12.57629349],3.7581,0.647614,0.699011
CSI,Engineering,CMOEA/D-DMA,400,10,3,8,Polynomial,0.7011,SBX,100,7,[40.51852771  4.03608329 12.6032343 ],12.6779,0.733749,0.282115
CSI,Engineering,CMOEA/D-DMA,500,10,3,6,Polynomial,0.8598,SBX,300,7,[33.51383048  4.01454222 12.56641059],53.5327,0.699061,0.199704
